parentName,nodeName,nodeId,parentId
,Root,0,
Root,Household Activities,1,0
Root,Personal Care,2,0
Root,Eating and drinking Activities,4,0
Root,"Sports, Exercise, and Recreation",5,0
Root,"Socializing, Relaxing, and Leisure",7,0
Household Activities,"Lawn, Garden, and Houseplants",10,1
Household Activities,"Exterior Maintenance, Repair, & Decoration",12,1
Household Activities,Vehicles,13,1
Household Activities,"Interior Maintenance, Repair, & Decoration",15,1
Household Activities,Housework,16,1
Household Activities,Household Management,19,1
Household Activities,Animals and Pets,22,1
Household Activities,"Appliances, Tools, and Toys",367,1
Personal Care,Grooming,20,2
Personal Care,Health-related Self Care,270,2
Eating and drinking Activities,"Food & Drink Prep., Presentation, & Clean-up",18,4
"Sports, Exercise, and Recreation","Participating in Sports, Exercise, or Recreation",17,5
"Socializing, Relaxing, and Leisure",Relaxing and Leisure,11,7
"Socializing, Relaxing, and Leisure",Arts and Entertainment,21,7
"Lawn, Garden, and Houseplants","Lawn, garden, and houseplant care",66,10
Relaxing and Leisure,Tobacco and drug use,28,11
Relaxing and Leisure,Playing games,48,11
"Exterior Maintenance, Repair, & Decoration",Exterior cleaning,51,12
"Exterior Maintenance, Repair, & Decoration","Exterior repair, improvements, & decoration",312,12
"Exterior Maintenance, Repair, & Decoration",Painting fence,336,12
Vehicles,Vehicle repair and maintenance (by self),56,13
"Interior Maintenance, Repair, & Decoration","Interior arrangement, decoration, & repairs",33,15
"Interior Maintenance, Repair, & Decoration",Heating and cooling,34,15
"Interior Maintenance, Repair, & Decoration",Building and repairing furniture,338,15
Housework,Laundry,30,16
Housework,Interior cleaning,37,16
Housework,"Sewing, repairing, & maintaining textiles",45,16
"Participating in Sports, Exercise, or Recreation",Doing gymnastics,24,17
"Participating in Sports, Exercise, or Recreation",Participating in martial arts,27,17
"Participating in Sports, Exercise, or Recreation",Weightlifting,35,17
"Participating in Sports, Exercise, or Recreation",Participating in water sports,42,17
"Participating in Sports, Exercise, or Recreation",Participating in equestrian sports,49,17
"Participating in Sports, Exercise, or Recreation","Climbing, spelunking, caving",50,17
"Participating in Sports, Exercise, or Recreation",Playing basketball,52,17
"Participating in Sports, Exercise, or Recreation",Playing racquet sports ,54,17
"Participating in Sports, Exercise, or Recreation",Doing aerobics,55,17
"Participating in Sports, Exercise, or Recreation",Using cardiovascular equipment,58,17
"Participating in Sports, Exercise, or Recreation",Playing hockey,60,17
"Participating in Sports, Exercise, or Recreation",Playing sports,64,17
"Participating in Sports, Exercise, or Recreation",Wrestling,272,17
"Participating in Sports, Exercise, or Recreation",Biking,275,17
"Participating in Sports, Exercise, or Recreation",Playing soccer,279,17
"Participating in Sports, Exercise, or Recreation",Bowling,284,17
"Participating in Sports, Exercise, or Recreation",Participating in rodeo competitions,289,17
"Participating in Sports, Exercise, or Recreation",Boating,293,17
"Participating in Sports, Exercise, or Recreation",Working out,306,17
"Participating in Sports, Exercise, or Recreation",Fencing,310,17
"Participating in Sports, Exercise, or Recreation",Fishing,325,17
"Participating in Sports, Exercise, or Recreation",Playing volleyball,342,17
"Participating in Sports, Exercise, or Recreation",Running,363,17
"Participating in Sports, Exercise, or Recreation","Skiing, ice skating, snowboarding",370,17
"Food & Drink Prep., Presentation, & Clean-up",Food and drink preparation ,31,18
"Food & Drink Prep., Presentation, & Clean-up",Kitchen and food clean-up,43,18
"Food & Drink Prep., Presentation, & Clean-up",Eating and Drinking,46,18
Household Management,Household & personal organization and planning,41,19
Grooming,"Washing, dressing and grooming",38,20
Grooming,"Washing, dressing and grooming oneself",62,20
Arts and Entertainment,Dancing,23,21
Arts and Entertainment,Attending arts and entertainment,39,21
Arts and Entertainment,Playing musical instruments,61,21
Arts and Entertainment,Beach activities,287,21
Arts and Entertainment,Park activities,314,21
Arts and Entertainment,Attending gambling establishments,344,21
Animals and Pets,Walking / exercising / playing with animals,26,22
Animals and Pets,Care for animals and pets (not veterinary care),65,22
Dancing,Tango,73,23
Dancing,Cheerleading,140,23
Dancing,Cumbia,211,23
Dancing,Breakdancing,236,23
Dancing,Belly dance,247,23
Doing gymnastics,Using parallel bars,88,24
Doing gymnastics,Using the pommel horse,114,24
Doing gymnastics,Using the balance beam,180,24
Doing gymnastics,Using uneven bars,192,24
Doing gymnastics,Tumbling,258,24
Walking / exercising / playing with animals,Grooming horse,95,26
Walking / exercising / playing with animals,Walking the dog,221,26
Walking / exercising / playing with animals,Disc dog,303,26
Participating in martial arts,Doing kickboxing,70,27
Participating in martial arts,Doing karate,99,27
Participating in martial arts,Tai chi,263,27
Participating in martial arts,Capoeira,294,27
Tobacco and drug use,Smoking hookah,189,28
Tobacco and drug use,Smoking a cigarette,201,28
Laundry,Ironing clothes,83,30
Laundry,Hand washing clothes,232,30
Food and drink preparation ,Preparing salad,96,31
Food and drink preparation ,Making a sandwich,129,31
Food and drink preparation ,Preparing pasta,186,31
Food and drink preparation ,Mixing drinks,244,31
Food and drink preparation ,Baking cookies,276,31
Food and drink preparation ,Making a cake,332,31
Food and drink preparation ,Making a lemonade,333,31
Food and drink preparation ,Making an omelette,334,31
Food and drink preparation ,Peeling potatoes,339,31
"Interior arrangement, decoration, & repairs",Painting,217,33
"Interior arrangement, decoration, & repairs",Carving jack-o-lanterns,295,33
"Interior arrangement, decoration, & repairs",Cleaning sink,297,33
"Interior arrangement, decoration, & repairs",Decorating the Christmas tree,302,33
"Interior arrangement, decoration, & repairs",Hanging wallpaper,319,33
"Interior arrangement, decoration, & repairs",Installing carpet,326,33
"Interior arrangement, decoration, & repairs",Laying tile,330,33
"Interior arrangement, decoration, & repairs",Plastering,340,33
Heating and cooling,Chopping wood,110,34
Weightlifting,Snatch,79,35
Weightlifting,Clean and jerk,84,35
Interior cleaning,Cleaning windows,143,37
Interior cleaning,Polishing forniture,156,37
Interior cleaning,Vacuuming floor,160,37
Interior cleaning,Mooping floor,335,37
"Washing, dressing and grooming",Getting a tattoo,187,38
"Washing, dressing and grooming",Getting a haircut,208,38
"Washing, dressing and grooming",Getting a piercing,214,38
Attending arts and entertainment,Ballet,229,39
Household & personal organization and planning,Wrapping presents,179,41
Participating in water sports,Playing water polo,130,42
Participating in water sports,Springboard diving,193,42
Participating in water sports,Plataform diving,233,42
Participating in water sports,Windsurfing,237,42
Participating in water sports,Sailing,240,42
Participating in water sports,Kayaking,254,42
Participating in water sports,Scuba diving,364,42
Participating in water sports,Surfing,376,42
Participating in water sports,Swimming,377,42
Participating in water sports,Wakeboarding,385,42
Participating in water sports,Waterskiing,386,42
Kitchen and food clean-up,Washing dishes,213,43
"Sewing, repairing, & maintaining textiles",Cleaning shoes,134,45
"Sewing, repairing, & maintaining textiles",Polishing shoes,227,45
"Sewing, repairing, & maintaining textiles",Knitting,329,45
Eating and Drinking,Drinking coffee,68,46
Eating and Drinking,Drinking beer,135,46
Eating and Drinking,Having an ice cream,320,46
Playing games,Hopscotch,241,48
Playing games,Beer pong,280,48
Playing games,Hitting a pinata,321,48
Playing games,Hula hoop,322,48
Playing games,Kite flying,327,48
Playing games,Playing pool,348,48
Playing games,Playing rubik cube,349,48
Playing games,Riding bumper cars,356,48
Playing games,Rock-paper-scissors,358,48
Playing games,Shuffleboard,368,48
Playing games,Slacklining,371,48
Playing games,Table soccer,379,48
Playing games,Throwing darts,380,48
Playing games,Tug of war,382,48
Participating in equestrian sports,Playing polo,75,49
Participating in equestrian sports,Horseback riding,175,49
"Climbing, spelunking, caving",Rock climbing,188,50
Exterior cleaning,Shoveling snow,183,51
Playing basketball,Layup drill in basketball,159,52
Playing racquet sports ,Ping-pong,119,54
Playing racquet sports ,Tennis serve with ball bouncing,152,54
Playing racquet sports ,Playing squash,194,54
Playing racquet sports ,Playing lacrosse,209,54
Playing racquet sports ,Playing racquetball,253,54
Playing racquet sports ,Playing badminton,268,54
Doing aerobics,Zumba,69,55
Doing aerobics,Doing step aerobics,230,55
Vehicle repair and maintenance (by self),Fixing bicycle,171,56
Vehicle repair and maintenance (by self),Assembling bicycle,273,56
Vehicle repair and maintenance (by self),Changing car wheel,296,56
Vehicle repair and maintenance (by self),Hand car wash,318,56
Vehicle repair and maintenance (by self),Removing ice from car,355,56
Using cardiovascular equipment,Spinning,117,58
Using cardiovascular equipment,Elliptical trainer,308,58
Using cardiovascular equipment,Using the rowing machine,384,58
Playing hockey,Playing field hockey,94,60
Playing hockey,Playing ice hockey,347,60
Playing musical instruments,Playing harmonica,100,61
Playing musical instruments,Playing saxophone,109,61
Playing musical instruments,Playing bagpipes,136,61
Playing musical instruments,Playing flauta,149,61
Playing musical instruments,Playing piano,197,61
Playing musical instruments,Playing violin,234,61
Playing musical instruments,Playing guitarra,251,61
Playing musical instruments,Playing accordion,267,61
Playing musical instruments,Drum corps,307,61
Playing musical instruments,Playing congas,345,61
Playing musical instruments,Playing drums,346,61
"Washing, dressing and grooming oneself",Putting on makeup,76,62
"Washing, dressing and grooming oneself",Washing face,113,62
"Washing, dressing and grooming oneself",Brushing hair,125,62
"Washing, dressing and grooming oneself",Brushing teeth,148,62
"Washing, dressing and grooming oneself",Doing nails,167,62
"Washing, dressing and grooming oneself",Washing hands,173,62
"Washing, dressing and grooming oneself",Shaving,190,62
"Washing, dressing and grooming oneself",Shaving legs,200,62
"Washing, dressing and grooming oneself",Removing curlers,248,62
"Washing, dressing and grooming oneself",Blow-drying hair,281,62
"Washing, dressing and grooming oneself",Braiding hair,285,62
"Washing, dressing and grooming oneself",Gargling mouthwash,316,62
"Washing, dressing and grooming oneself",Putting in contact lenses,351,62
"Washing, dressing and grooming oneself",Putting on shoes,352,62
Playing sports,Long jump,80,64
Playing sports,Cricket,82,64
Playing sports,Discus throw,92,64
Playing sports,Pole vault,106,64
Playing sports,Javelin throw,116,64
Playing sports,Paintball,141,64
Playing sports,Starting a campfire,153,64
Playing sports,Bungee jumping,154,64
Playing sports,Triple jump,155,64
Playing sports,Dodgeball,161,64
Playing sports,Shot put,169,64
Playing sports,Skateboarding,176,64
Playing sports,High jump,195,64
Playing sports,Hammer throw,224,64
Playing sports,Doing motocross,243,64
Playing sports,Archery,250,64
Playing sports,Playing kickball,257,64
Playing sports,Baton twirling,277,64
Playing sports,Camel ride,291,64
Playing sports,Croquet,299,64
Playing sports,Curling,300,64
Playing sports,Doing a powerbomb,304,64
Playing sports,Hurling,323,64
Playing sports,Longboarding,331,64
Playing sports,Powerbocking,350,64
Playing sports,Rollerblading,359,64
Care for animals and pets (not veterinary care),Bathing dog,90,65
Care for animals and pets (not veterinary care),Clipping cat claws,298,65
Care for animals and pets (not veterinary care),Grooming dog,317,65
"Lawn, garden, and houseplant care",Mowing the lawn,218,66
"Lawn, garden, and houseplant care",Blowing leaves,282,66
"Lawn, garden, and houseplant care",Cutting the grass,301,66
"Lawn, garden, and houseplant care",Raking leaves,354,66
"Lawn, garden, and houseplant care",Spread mulch,374,66
"Lawn, garden, and houseplant care",Trimming branches or hedges,381,66
Health-related self care,Applying sunscreen,389,269
Health-related Self Care,Health-related self care,269,270
Wrestling,Arm wrestling,271,272
Wrestling,Sumo,375,272
Biking,BMX,274,275
Playing soccer,Beach soccer,278,279
Playing soccer,Futsal,315,279
Bowling,Playing ten pins,283,284
Beach activities,Building sandcastles,286,287
Participating in rodeo competitions,Bullfighting,288,289
Participating in rodeo competitions,Calf roping,290,289
Boating,Canoeing,292,293
Boating,Rafting,353,293
Boating,River tubing,357,293
Working out,Doing crunches,305,306
Working out,Kneeling,328,306
Working out,Rope skipping,361,306
Fencing,Doing fencing,309,310
"Exterior repair, improvements, & decoration",Fixing the roof,311,312
"Exterior repair, improvements, & decoration",Roof shingle removal,360,312
Park activities,Fun sliding down,313,314
Park activities,Swinging at the playground,378,314
Park activities,Using the monkey bar,383,314
Fishing,Ice fishing,324,325
Building and repairing furniture,Painting furniture,337,338
Playing volleyball,Volleyball,123,342
Playing volleyball,Playing beach volleyball,341,342
Attending gambling establishments,Playing blackjack,343,344
Running,Running a marathon,362,363
"Appliance, tool, and toy set-up, repair, & maintenance (by self)",Sharpening knives,365,366
"Appliance, tool, and toy set-up, repair, & maintenance (by self)",Waxing skis,387,366
"Appliance, tool, and toy set-up, repair, & maintenance (by self)",Welding,388,366
"Appliances, Tools, and Toys","Appliance, tool, and toy set-up, repair, & maintenance (by self)",366,367
"Skiing, ice skating, snowboarding",Skiing,369,370
"Skiing, ice skating, snowboarding",Snow tubing,372,370
"Skiing, ice skating, snowboarding",Snowboarding,373,370
